영화명,개봉일,관객수,스크린수,대표국적,배급사
실종,2004-02-27,"3,511",3.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
6월의 뱀,2004-12-10,"3,500",6.0,일본,(주)마블엔터테인먼트
아들,2004-02-20,"3,300",1.0,프랑스,(주)동숭아트센터
알게 될거야,2004-02-13,"3,283",2.0,프랑스,(주)스폰지이엔티
투 터프 가이즈,2004-12-31,"3,141",1.0,스페인,씨네파크
엑스텐션,2003-12-31,"3,099",4.0,프랑스,"(유)영화사 화수분,인트로미디어(주)"
네드 켈리,2004-04-16,"3,000",4.0,호주,UIP코리아
비키퍼,2004-10-27,"2,995",2.0,그리스,㈜영화사 백두대간
맥덜,2004-09-03,"2,807",3.0,홍콩,(주)스폰지이엔티
마이 제너레이션,2004-12-03,"2,702",3.0,한국,아트플러스시네마네트워크
그 여름 가장 조용한 바다,2004-08-13,"2,657",1.0,일본,"(주)영화사 진진,(주)스폰지이엔티"
나에게 유일한,2004-08-06,"2,545",2.0,이탈리아,(주)동숭아트센터
모두 하고 있습니까?,2004-08-06,"2,128",1.0,일본,"(주)영화사 진진,(주)스폰지이엔티"
차례로 익사시키기,2004-06-19,"1,895",1.0,영국,(주)동숭아트센터
워킹 톨,2004-09-10,"1,570",4.0,미국,이십세기폭스필름코퍼레이션
아타나주아,2003-12-19,"1,509",4.0,캐나다,㈜영화사 백두대간
미소,2004-02-13,"1,500",2.0,한국,미소필름
20 30 40,2004-10-22,"1,428",5.0,대만,한국소니픽쳐스릴리징브에나비스타영화㈜
3-4X10월,2004-08-20,"1,426",1.0,일본,(주)스폰지이엔티
카란디루,2004-09-10,"1,387",1.0,아르헨티나,한국소니픽쳐스릴리징브에나비스타영화㈜
밝은 미래,2004-04-23,"1,228",2.0,일본,(주)미로비젼
욕망,2004-02-20,"1,150",2.0,한국,
스타쉽 트루퍼스2,2004-06-25,"1,023",1.0,미국,콜럼비아트라이스타
루니 툰 : 백 인 액션,2003-12-24,"1,000",22.0,미국,워너브러더스 코리아(주)
소녀 검객 아즈미 대혈전,2004-06-25,709,2.0,일본,(주)스폰지이엔티
퍼펙트 블루,2004-05-26,634,1.0,일본,(주)튜브엔터테인먼트
씬,2004-03-19,590,1.0,미국,이십세기폭스필름코퍼레이션
시크릿 윈도우,2004-09-10,535,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
막달레나 시스터즈,2004-05-07,532,1.0,잉글랜드,(주)인피니티엔터테인먼트
삼사라,2004-11-26,531,1.0,프랑스,㈜세종커뮤니케이션스
리지 맥과이어,2004-02-27,442,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
강령,2004-04-23,429,1.0,일본,(주)미로비젼
붉은 돼지,2003-12-19,341,28.0,일본,브에나비스타인터내셔널
브링 다운 더 하우스,2004-02-27,292,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
지옥갑자원,2004-09-10,280,1.0,일본,(주)영화사한결
베로니카 게린,2004-02-27,233,1.0,아일랜드,한국소니픽쳐스릴리징브에나비스타영화㈜
바디 스내치,2004-04-30,209,1.0,프랑스,(주)그림상자
벨리 오브 비스트,2004-02-20,208,1.0,영국,"(유)영화사 화수분,(주)그림상자"
카르멘,2004-09-24,170,1.0,스페인,필름뱅크(주)
메트레스 연인,2004-06-11,164,1.0,일본,미디어소프트
못말리는 이혼녀,2004-03-25,163,1.0,독일,코리아픽쳐스(주)
완전한 사육 2 - 사랑의 40일,2004-06-04,161,1.0,일본,(주)창엔터테인먼트
콰이어트 아메리칸,2004-04-23,113,1.0,미국,(주)씨네월드
블라인드 호라이즌,2004-04-23,105,1.0,미국,(주)그림상자
콜드 크릭,2004-05-21,104,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
투스카니의 태양,2004-04-23,103,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
스나이퍼 2,2004-03-26,64,1.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
천지영웅,2004-12-10,6,1.0,홍콩,한국소니픽쳐스릴리징브에나비스타영화㈜
아나토미 2,2004-02-13,3,1.0,독일,한국소니픽쳐스릴리징브에나비스타영화㈜
무간도3 - 종극무간,2004-07-02,"44,000",9.0,홍콩,이십세기폭스코리아(주)
8명의 여인들,2004-02-27,824,2.0,프랑스,무비즈엔터테인먼트㈜
올드보이,2003-11-21,"48,417",45.0,한국,"쇼이스트(주),씨제이이앤엠(주)"
웰컴 투 동막골,2005-08-04,"8,008,622",114.0,한국,(주)쇼박스
가문의 위기(가문의 영광2),2005-09-07,"5,635,266",101.0,한국,(주)쇼박스
말아톤,2005-01-27,"5,148,022",73.0,한국,(주)쇼박스
공공의 적 2,2005-01-27,"3,911,356",95.0,한국,(주)시네마서비스
태풍,2005-12-14,"3,723,752",115.0,한국,씨제이엔터테인먼트
친절한 금자씨,2005-07-29,"3,650,000",127.0,한국,씨제이엔터테인먼트
미스터 & 미세스 스미스,2005-06-16,"3,546,900",103.0,미국,이십세기폭스필름코퍼레이션
해리포터와 불의 잔,2005-12-01,"3,473,400",125.0,미국,워너브러더스 코리아(주)
아일랜드,2005-07-21,"3,433,900",110.0,미국,워너브러더스 코리아(주)
우주전쟁,2005-07-07,"3,223,000",123.0,미국,UIP코리아
마파도,2005-03-10,"3,090,467",58.0,한국,씨제이엔터테인먼트
너는 내 운명,2005-09-23,"3,051,134",92.0,한국,씨제이엔터테인먼트
킹콩,2005-12-14,"2,913,000",89.0,미국,UIP코리아
내 생애 가장 아름다운 일주일,2005-10-07,"2,533,103",105.0,한국,씨제이엔터테인먼트
박수칠 때 떠나라,2005-08-11,"2,475,291",78.0,한국,(주)시네마서비스
광식이 동생 광태,2005-11-23,"2,430,200",83.0,한국,(주)엠케이픽처스
혈의 누,2005-05-04,"2,274,995",98.0,한국,(주)시네마서비스
댄서의 순정,2005-04-28,"2,197,555",68.0,한국,쇼이스트(주)
잠복근무,2005-03-17,"1,914,941",64.0,한국,(주)쇼박스
콘스탄틴,2005-02-08,"1,845,000",59.0,미국,워너브러더스 코리아(주)
